subNum,lineupType,suspectPosition,suspectID,suspectRT,suspectConf,fill1ID,fill1RT,fill1Conf,fill2ID,fill2RT,fill2Conf,fill3ID,fill3RT,fill3Conf,fill4ID,fill4RT,fill4Conf,fill5ID,fill5RT,fill5Conf,fill6ID,fill6RT,fill6Conf
3003,Target Absent,,,,,Yes,6.876,19,No,5.147,-100,No,4.572,-100,No,5.161,-100,No,5.84,-100,No,6.53,-100
3004,Target Present,3,Yes,6.892,75,No,7.159,-82,No,3.473,-98,,,,No,4.336,-72,No,6.176,-45,No,7.849,-35
3005,Target Present,4,Yes,5.35,82,No,7.103,-67,No,8.589,-87,Yes,7.656,60,,,,Yes,3.67,77,No,4.533,-55
3006,Target Absent,,,,,No,6.86,-71,No,11.224,-40,No,8.112,-70,No,10.523,-60,No,7.064,-71,No,12.097,-50
3007,Target Present,2,No,3.557,60,Yes,9.894,40,,,,Yes,6.15,62,No,3.142,-80,Yes,8.024,70,No,3.865,-100
3008,Target Absent,,,,,No,5.476,-74,No,5.002,-99,No,4.727,-100,No,3.095,-100,No,3.751,-100,No,3.197,-100
3009,Target Present,6,No,3.482,61,No,3.967,-60,No,3.589,-73,No,4.476,-35,No,3.923,-71,Yes,5.903,29,,,
3010,Target Present,5,Yes,4.231,94,No,4.958,-70,No,4.072,-100,No,6.199,-84,No,10.193,-51,,,,No,4.115,-100
3011,Target Present,4,Yes,10.033,80,No,9.686,-60,Yes,6.175,70,No,4.664,-80,,,,No,3.94,-90,No,3.645,-80
3012,Target Absent,,,,,No,10.877,-88,No,5.702,-90,Yes,8.748,82,No,2.781,-94,No,2.948,-88,No,6.037,-88
3013,Target Absent,,,,,No,18.532,-20,No,5.311,-61,No,24.01,-15,No,3.206,-80,No,4.283,-60,No,3.917,-90
3014,Target Absent,,,,,No,4.757,-80,No,12.12,-90,Yes,5.047,30,No,3.521,-60,No,4.036,-40,No,3.493,-80
3015,Target Absent,,,,,No,6.376,-6,No,3.641,-18,No,4.955,-18,No,4.095,-20,Yes,5.907,43,No,3.378,-7
3016,Target Absent,,,,,No,4.307,-60,No,4.261,-30,No,5.662,-90,No,5.152,-10,No,4.286,-20,Yes,5.143,70
