subNum,condition,lineupType,suspectPosition,suspectID,suspectConf,fill1ID,fill1Conf,fill2ID,fill2Conf,fill3ID,fill3Conf,fill4ID,fill4Conf,fill5ID,fill5Conf,fill6ID,fill6Conf
2337,Target Present,Lineup,pos 4,Yes,91,No,70,No,60,No,67,NaN,NaN,No,51,No,60
2338,Target Present,Lineup,pos 5,Yes,71,No,90,No,82,Yes,50,Yes,60,NaN,NaN,No,100
2339,Target Absent,Showup,,,NaN,Yes,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2340,Target Present,Lineup,pos 2,Yes,81,No,65,NaN,NaN,No,73,No,99,No,89,No,96
2341,Target Present,Lineup,pos 3,Yes,75,No,61,Yes,59,NaN,NaN,No,90,No,72,No,88
2342,Target Absent,Lineup,,,NaN,No,61,No,96,No,66,No,89,No,100,Yes,71
2343,Target Present,Lineup,pos 4,Yes,70,No,75,No,65,No,90,NaN,NaN,No,75,No,40
2344,Target Absent,Lineup,,,NaN,No,24,No,91,No,93,No,31,No,91,No,95
2345,Target Present,Showup,,Yes,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2346,Target Present,Lineup,pos 6,Yes,21,Yes,10,No,2,No,8,No,6,No,7,NaN,NaN
2347,Target Absent,Showup,,,NaN,No,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2348,Target Present,Showup,,Yes,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2349,Target Present,Showup,,No,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2350,Target Present,Showup,,Yes,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2351,Target Present,Showup,,Yes,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2352,Target Present,Showup,,Yes,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2354,Target Absent,Lineup,,,NaN,No,82,No,91,Yes,100,No,100,No,81,Yes,75
2355,Target Absent,Showup,,,NaN,No,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2356,Target Present,Lineup,pos 5,Yes,98,No,72,No,94,No,96,No,100,NaN,NaN,No,100
2357,Target Absent,Lineup,,,NaN,No,39,No,31,No,100,No,61,No,42,No,70
2358,Target Present,Showup,,Yes,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2359,Target Absent,Lineup,,,NaN,No,73,No,81,No,100,No,100,No,100,No,100
2360,Target Absent,Lineup,,,NaN,No,20,Yes,37,No,60,No,30,No,28,Yes,81
2361,Target Absent,Showup,,,NaN,No,51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2362,Target Absent,Lineup,,,NaN,No,80,No,95,No,95,No,80,No,70,No,80
2363,Target Present,Showup,,Yes,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2364,Target Present,Lineup,pos 1,No,86,NaN,NaN,No,100,No,90,No,99,No,100,No,34
2365,Target Present,Showup,,Yes,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2366,Target Present,Showup,,Yes,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2367,Target Present,Showup,,Yes,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2368,Target Absent,Lineup,,,NaN,No,78,No,29,No,68,No,67,No,83,No,60
2369,Target Absent,Lineup,,,NaN,No,65,No,67,No,72,Yes,61,No,87,No,70
2370,Target Absent,Lineup,,,NaN,No,28,No,99,No,57,No,40,Yes,18,No,28
2371,Target Absent,Showup,,,NaN,No,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2372,Target Present,Lineup,pos 5,Yes,61,No,51,No,14,No,79,No,79,NaN,NaN,No,72
2373,Target Present,Lineup,pos 2,No,50,No,70,NaN,NaN,No,90,No,60,No,90,No,50
2374,Target Present,Lineup,pos 6,Yes,60,No,90,No,95,No,51,No,95,No,94,NaN,NaN
2377,Target Absent,Lineup,,,NaN,No,100,No,100,No,100,No,100,No,100,No,100
2378,Target Present,Showup,,Yes,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2379,Target Absent,Showup,,,NaN,Yes,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2380,Target Absent,Lineup,,,NaN,No,100,No,100,No,100,Yes,51,No,100,No,100
2381,Target Present,Lineup,pos 4,Yes,65,No,70,No,73,No,74,NaN,NaN,No,58,No,75
2382,Target Present,Lineup,pos 3,Yes,72,No,65,No,66,NaN,NaN,No,79,No,76,No,78
2383,Target Present,Showup,,Yes,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
