ParticipantId,Experiment,LineupType,time_allfaces,above_median,,,,,
171fc820-a768-4a9f-a352-d0c2f00e7a50,Exp2,independent_simultaneous,35956,FALSE,,,,,
1741423c-99ad-4a7c-9eaf-8874e77098b5,Exp2,independent_simultaneous,45188,FALSE,,,,,
17587dce-237c-47cc-95f1-2a5146cdeef9,Exp2,independent_simultaneous,21478,FALSE,,,,,
177d1d94-2d0e-4928-95ef-53d5cbf785f0,Exp2,independent_simultaneous,139229,TRUE,,,,,
177f4e4f-0d2a-4db0-84cc-489f00b4e260,Exp2,independent_simultaneous,36797,FALSE,,,,,
17814f6f-2f24-47a2-80af-98c56eaacc5b,Exp2,independent_simultaneous,194686,TRUE,,,,,
17b7eede-4838-4a18-9198-843994649cf8,Exp2,independent_simultaneous,39029,FALSE,,,,,
17bdcf37-59ca-4bea-a9a3-c6296b39abca,Exp2,independent_simultaneous,43124,FALSE,,,,,
17c588fb-a7c1-47f2-9a22-fae44346cc2f,Exp2,independent_simultaneous,27432,FALSE,,,,,
17cbf09d-47fb-42fa-be62-4619ab758932,Exp2,independent_simultaneous,87692,TRUE,,,,,
17d35745-dcc2-48a6-9926-c3e470f8801c,Exp2,independent_simultaneous,28934,FALSE,,,,,
17d63564-7942-4b2b-8cc0-a830a2578718,Exp2,independent_simultaneous,25711,FALSE,,,,,
17f14ad3-3a1a-4de6-a186-ef37e6c841df,Exp2,independent_simultaneous,432034,TRUE,,,,,
17f29300-2d2a-46c6-9d92-5a7bec4dc84f,Exp2,independent_simultaneous,35186,FALSE,,,,,
