ParticipantId,ExperimentId,TrialNumber,time_allfaces_trial,above_median_trial
6a13fe52-8911-4068-917f-9ec805d7c6d9,238,3,21522,FALSE
6a13fe52-8911-4068-917f-9ec805d7c6d9,238,4,31319,TRUE
6a13fe52-8911-4068-917f-9ec805d7c6d9,238,5,24454,FALSE
6a13fe52-8911-4068-917f-9ec805d7c6d9,238,6,31666,TRUE
6a13fe52-8911-4068-917f-9ec805d7c6d9,238,7,27801,TRUE
6a13fe52-8911-4068-917f-9ec805d7c6d9,238,8,23846,FALSE
501f5f9f-b661-4cbd-80c3-c763afc51b68,243,1,30719,TRUE
501f5f9f-b661-4cbd-80c3-c763afc51b68,243,2,31941,TRUE
501f5f9f-b661-4cbd-80c3-c763afc51b68,243,3,28055,TRUE
501f5f9f-b661-4cbd-80c3-c763afc51b68,243,4,21349,FALSE
501f5f9f-b661-4cbd-80c3-c763afc51b68,243,5,23943,FALSE
501f5f9f-b661-4cbd-80c3-c763afc51b68,243,6,25345,TRUE
501f5f9f-b661-4cbd-80c3-c763afc51b68,243,7,23654,FALSE
501f5f9f-b661-4cbd-80c3-c763afc51b68,243,8,20617,FALSE
be464354-03f8-4f50-9c5f-4540d38006f4,250,1,22916,FALSE
be464354-03f8-4f50-9c5f-4540d38006f4,250,2,19387,FALSE
be464354-03f8-4f50-9c5f-4540d38006f4,250,3,20200,FALSE
be464354-03f8-4f50-9c5f-4540d38006f4,250,4,27400,TRUE
be464354-03f8-4f50-9c5f-4540d38006f4,250,5,14513,FALSE
be464354-03f8-4f50-9c5f-4540d38006f4,250,6,20654,FALSE
be464354-03f8-4f50-9c5f-4540d38006f4,250,7,23093,FALSE
be464354-03f8-4f50-9c5f-4540d38006f4,250,8,17934,FALSE
7b41a2ef-3528-48b4-af51-317cd7aa7663,253,1,28269,TRUE
7b41a2ef-3528-48b4-af51-317cd7aa7663,253,2,17938,FALSE
7b41a2ef-3528-48b4-af51-317cd7aa7663,253,3,25021,FALSE
7b41a2ef-3528-48b4-af51-317cd7aa7663,253,4,25505,TRUE
7b41a2ef-3528-48b4-af51-317cd7aa7663,253,5,22436,FALSE
7b41a2ef-3528-48b4-af51-317cd7aa7663,253,6,25121,FALSE
7b41a2ef-3528-48b4-af51-317cd7aa7663,253,7,22898,FALSE
7b41a2ef-3528-48b4-af51-317cd7aa7663,253,8,26710,TRUE
f0e8109f-5957-468c-9961-d7a7741efc02,255,1,42245,TRUE
f0e8109f-5957-468c-9961-d7a7741efc02,255,2,29489,TRUE
f0e8109f-5957-468c-9961-d7a7741efc02,255,3,57528,TRUE
f0e8109f-5957-468c-9961-d7a7741efc02,255,4,28668,TRUE
f0e8109f-5957-468c-9961-d7a7741efc02,255,5,24120,FALSE
f0e8109f-5957-468c-9961-d7a7741efc02,255,6,29306,TRUE
f0e8109f-5957-468c-9961-d7a7741efc02,255,7,25290,TRUE
f0e8109f-5957-468c-9961-d7a7741efc02,255,8,21621,FALSE
a4dd9e9a-eb01-4682-a3fb-583a16c2b283,257,1,58343,TRUE
a4dd9e9a-eb01-4682-a3fb-583a16c2b283,257,2,36488,TRUE
a4dd9e9a-eb01-4682-a3fb-583a16c2b283,257,3,27518,TRUE
a4dd9e9a-eb01-4682-a3fb-583a16c2b283,257,4,32482,TRUE
a4dd9e9a-eb01-4682-a3fb-583a16c2b283,257,5,31181,TRUE
a4dd9e9a-eb01-4682-a3fb-583a16c2b283,257,6,21549,FALSE
a4dd9e9a-eb01-4682-a3fb-583a16c2b283,257,7,23202,FALSE
a4dd9e9a-eb01-4682-a3fb-583a16c2b283,257,8,25725,TRUE
444a8c82-4c3f-4304-9005-f2c9f868f76a,259,1,36428,TRUE
444a8c82-4c3f-4304-9005-f2c9f868f76a,259,2,39716,TRUE
444a8c82-4c3f-4304-9005-f2c9f868f76a,259,3,24777,FALSE
